value,footprint,libsource/_lib,libsource/_part,sheetpath/_names,sheetpath/_tstamps,tstamp,_ref,datasheet
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806C8B1,SW1,
D,footprints:SOD-123,device,D,/,/,5806C96C,D1,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806CB7B,SW2,
D,footprints:SOD-123,device,D,/,/,5806CBD5,D2,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806CD4F,SW3,
D,footprints:SOD-123,device,D,/,/,5806CD55,D3,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806CD5B,SW4,
D,footprints:SOD-123,device,D,/,/,5806CD71,D4,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806D7BA,SW5,
D,footprints:SOD-123,device,D,/,/,5806D7C0,D5,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806D880,SW6,
D,footprints:SOD-123,device,D,/,/,5806D886,D6,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806E079,SW7,
D,footprints:SOD-123,device,D,/,/,5806E07F,D7,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806E085,SW8,
D,footprints:SOD-123,device,D,/,/,5806E08B,D8,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806E091,SW9,
D,footprints:SOD-123,device,D,/,/,5806E097,D9,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806E09D,SW10,
D,footprints:SOD-123,device,D,/,/,5806E0A3,D10,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806E0AC,SW11,
D,footprints:SOD-123,device,D,/,/,5806E0B2,D11,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806E0B8,SW12,
D,footprints:SOD-123,device,D,/,/,5806E0BE,D12,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806F80C,SW13,
D,footprints:SOD-123,device,D,/,/,5806F812,D13,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806F818,SW14,
D,footprints:SOD-123,device,D,/,/,5806F81E,D14,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806F824,SW15,
D,footprints:SOD-123,device,D,/,/,5806F82A,D15,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806F830,SW16,
D,footprints:SOD-123,device,D,/,/,5806F836,D16,
SW_PUSH,footprints:CHERRY_PCB_100H,device,SW_PUSH,/,/,5806F83F,SW17,
D,footprints:SOD-123,device,D,/,/,5806F845,D17,
